               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.031918,            0.014368,             0.00936,             0.98372,             0.99119,             0.99457,              0.7976,            0.014893,           0.0031916,              0.0018,            0.004918,            0.004918,            0.004918
                  79,             0.03277,            0.013101,           0.0072133,             0.95996,             0.98864,             0.98087,             0.77904,             0.01374,           0.0031674,           0.0018181,            0.004852,            0.004852,            0.004852
                  80,            0.029715,            0.012774,           0.0068675,             0.96255,             0.99005,             0.99042,             0.76459,            0.014551,           0.0031416,           0.0017948,            0.004786,            0.004786,            0.004786
                  81,            0.030409,            0.011946,           0.0078677,             0.98429,             0.98719,             0.99457,             0.81323,             0.01303,           0.0031077,           0.0015253,             0.00472,             0.00472,             0.00472
                  82,            0.032551,            0.013342,           0.0074704,             0.86223,             0.97217,             0.95986,             0.74872,            0.019134,           0.0030545,           0.0014734,            0.004654,            0.004654,            0.004654
                  83,            0.031151,            0.013691,           0.0076185,             0.98022,             0.99679,             0.99457,             0.72117,            0.019474,           0.0031491,           0.0014474,            0.004588,            0.004588,            0.004588
                  84,            0.035992,            0.014252,            0.007769,             0.99193,                   1,               0.995,             0.77433,            0.015041,            0.003052,           0.0014488,            0.004522,            0.004522,            0.004522
                  85,            0.030789,            0.013166,           0.0076737,             0.99607,             0.99998,               0.995,              0.7866,            0.012919,           0.0029535,           0.0014285,            0.004456,            0.004456,            0.004456
                  86,            0.032153,            0.012074,           0.0094299,             0.97523,             0.99821,             0.99313,             0.76052,             0.01592,           0.0030096,           0.0014183,             0.00439,             0.00439,             0.00439
                  87,             0.03145,            0.013441,           0.0067219,             0.98017,              0.9981,             0.99109,             0.77163,            0.014472,           0.0030465,           0.0014361,            0.004324,            0.004324,            0.004324
                  88,            0.029865,            0.013176,            0.006363,             0.99057,             0.99692,               0.995,             0.80872,            0.012893,           0.0029763,           0.0013839,            0.004258,            0.004258,            0.004258
                  89,            0.028128,            0.013117,            0.008317,             0.99187,                   1,               0.995,             0.78238,            0.014524,           0.0029394,           0.0013135,            0.004192,            0.004192,            0.004192
                  90,            0.029141,            0.013639,            0.005416,             0.99272,                   1,               0.995,             0.81349,            0.012808,           0.0029248,           0.0012451,            0.004126,            0.004126,            0.004126
                  91,            0.028761,            0.012722,           0.0058562,             0.98813,                   1,               0.995,             0.80923,            0.012543,           0.0028674,           0.0012452,             0.00406,             0.00406,             0.00406
                  92,            0.028677,            0.012422,           0.0046022,             0.99296,                   1,               0.995,             0.76251,            0.014737,           0.0029206,            0.001275,            0.003994,            0.003994,            0.003994
